image_id,healthy,multiple_diseases,rust,scab
Train_96,0,0,1,0
Train_97,0,0,1,0
Train_98,0,0,1,0
Train_99,1,0,0,0
Train_100,1,0,0,0
Train_101,0,0,0,1
Train_102,0,0,1,0
Train_103,1,0,0,0
Train_104,0,1,0,0
Train_105,1,0,0,0
Train_106,0,0,0,1
Train_107,0,0,0,1
Train_108,0,0,1,0
Train_109,0,0,1,0
Train_110,0,0,0,1
Train_111,1,0,0,0
Train_112,0,0,0,1
Train_113,0,1,0,0
Train_114,0,0,1,0
Train_115,0,0,1,0
Train_116,0,0,0,1
Train_117,0,0,1,0
Train_118,0,0,1,0
Train_119,0,0,0,1
Train_120,0,0,1,0
Train_121,0,0,1,0
Train_122,0,1,0,0
Train_123,1,0,0,0
Train_124,0,0,1,0
Train_125,0,0,0,1
Train_126,0,0,1,0
Train_127,0,0,0,1
Train_128,0,1,0,0
Train_129,0,0,1,0
Train_130,0,0,0,1
Train_131,0,0,1,0
Train_132,0,0,1,0
Train_133,0,0,1,0
Train_134,1,0,0,0
Train_135,1,0,0,0
Train_136,1,0,0,0
Train_137,1,0,0,0
Train_138,0,0,0,1
Train_139,0,0,1,0
Train_140,0,0,0,1
Train_141,0,0,1,0
Train_142,0,0,0,1
Train_143,0,0,0,1
Train_144,1,0,0,0
Train_145,0,0,0,1
Train_146,1,0,0,0
Train_147,0,0,0,1
Train_148,0,0,1,0
Train_149,0,0,0,1
Train_150,0,0,0,1
Train_151,1,0,0,0
Train_152,0,0,0,1
Train_153,0,0,0,1
Train_154,0,0,0,1
Train_155,0,0,0,1
Train_156,0,0,1,0
Train_157,0,0,1,0
Train_158,0,0,0,1
Train_159,0,0,1,0
Train_160,0,0,0,1
Train_161,0,0,0,1
Train_162,1,0,0,0
Train_163,0,0,0,1
Train_164,0,0,1,0
Train_165,0,0,1,0
Train_166,0,0,0,1
Train_167,1,0,0,0
Train_168,0,0,0,1
Train_169,0,0,0,1
Train_170,0,1,0,0
Train_171,0,0,1,0
Train_172,0,0,0,1
Train_173,0,0,0,1
Train_174,1,0,0,0
Train_175,1,0,0,0
Train_176,0,0,0,1
Train_177,0,0,0,1
Train_178,0,0,1,0
Train_179,1,0,0,0
Train_180,0,1,0,0
Train_181,0,0,1,0
Train_182,0,0,0,1
Train_183,0,0,1,0
Train_184,0,0,1,0
Train_185,0,0,0,1
Train_186,0,0,0,1
Train_187,0,0,1,0
Train_188,0,0,1,0
Train_189,0,0,0,1
Train_190,0,0,0,1
Train_191,0,0,0,1
Train_192,0,0,0,1
Train_193,0,0,1,0
Train_194,0,0,1,0
Train_195,1,0,0,0
Train_196,0,0,0,1
Train_197,0,0,0,1
Train_198,1,0,0,0
Train_199,1,0,0,0
Train_200,0,0,0,1
Train_201,1,0,0,0
Train_202,0,0,1,0
Train_203,0,0,0,1
Train_204,0,0,0,1
Train_205,0,0,1,0
Train_206,0,0,1,0
Train_207,0,0,0,1
Train_208,0,0,1,0
Train_209,0,0,0,1
Train_210,0,0,0,1
Train_211,0,0,0,1
Train_212,0,0,1,0
Train_213,1,0,0,0
Train_214,0,0,0,1
Train_215,1,0,0,0
Train_216,0,0,0,1
Train_217,0,0,0,1
Train_218,0,0,1,0
Train_219,1,0,0,0
Train_220,1,0,0,0
Train_221,1,0,0,0
Train_222,0,0,0,1
Train_223,0,0,1,0
Train_224,1,0,0,0
Train_225,0,0,1,0
Train_226,0,0,1,0
Train_227,1,0,0,0
Train_228,0,0,1,0
Train_229,0,0,0,1
Train_230,0,0,0,1
Train_231,0,1,0,0
Train_232,0,0,0,1
Train_233,0,0,1,0
Train_234,0,0,0,1
Train_235,0,0,0,1
Train_236,0,0,1,0
Train_237,0,1,0,0
Train_238,1,0,0,0
Train_239,0,0,0,1
Train_240,0,0,1,0
Train_241,0,0,1,0
Train_242,0,0,0,1
Train_243,0,0,0,1
Train_244,0,0,1,0
Train_245,0,1,0,0
Train_246,1,0,0,0
Train_247,1,0,0,0
Train_248,1,0,0,0
Train_249,1,0,0,0
Train_250,0,0,0,1
Train_251,0,0,0,1
Train_252,0,0,0,1
Train_253,0,0,0,1
Train_254,0,0,1,0
Train_255,0,0,0,1
Train_256,0,0,0,1
Train_257,1,0,0,0
Train_258,0,0,0,1
Train_259,0,0,1,0
Train_260,0,0,0,1
Train_261,1,0,0,0
Train_262,0,0,0,1
Train_263,1,0,0,0
Train_264,1,0,0,0
Train_265,1,0,0,0
Train_266,1,0,0,0
Train_267,0,0,0,1
Train_268,0,0,0,1
Train_269,0,0,1,0
Train_270,0,0,0,1
Train_271,1,0,0,0
Train_272,0,0,0,1
Train_273,1,0,0,0
Train_274,0,0,1,0
Train_275,0,0,1,0
Train_276,0,0,0,1
Train_277,0,0,1,0
Train_278,1,0,0,0
Train_279,0,0,1,0
Train_280,0,0,0,1
Train_281,0,0,0,1
Train_282,1,0,0,0
Train_283,0,0,0,1
Train_284,0,0,1,0
Train_285,0,0,1,0
Train_286,0,0,1,0
Train_287,1,0,0,0
Train_288,0,0,1,0
Train_289,0,0,1,0
Train_290,0,0,0,1
Train_291,1,0,0,0
Train_292,0,0,0,1
Train_293,0,0,0,1
Train_294,0,0,1,0
Train_295,1,0,0,0
Train_296,0,0,0,1
Train_297,0,0,0,1
Train_298,1,0,0,0
Train_299,0,0,1,0
Train_300,1,0,0,0
Train_301,0,0,1,0
Train_302,0,0,1,0
Train_303,0,0,0,1
Train_304,1,0,0,0
Train_305,0,0,0,1
Train_306,0,1,0,0
Train_307,1,0,0,0
Train_308,0,0,0,1
Train_309,0,0,0,1
Train_310,0,0,0,1
Train_311,1,0,0,0
Train_312,0,0,0,1
Train_313,0,0,1,0
Train_314,0,0,1,0
Train_315,0,0,0,1
Train_316,0,0,0,1
Train_317,1,0,0,0
Train_318,0,0,1,0
Train_319,0,0,0,1
Train_320,1,0,0,0
Train_321,0,0,1,0
Train_322,0,0,1,0
Train_323,0,0,1,0
Train_324,0,0,0,1
Train_325,0,0,0,1
Train_326,0,0,0,1
Train_327,0,0,1,0
Train_328,0,0,1,0
Train_329,1,0,0,0
Train_330,1,0,0,0
Train_331,0,0,1,0
Train_332,0,0,0,1
Train_333,0,0,1,0
Train_334,0,0,1,0
Train_335,1,0,0,0
Train_336,0,1,0,0
Train_337,1,0,0,0
Train_338,0,1,0,0
Train_339,1,0,0,0
Train_340,0,0,1,0
Train_341,0,0,1,0
Train_342,0,0,1,0
Train_343,0,0,0,1
Train_344,0,0,1,0
Train_345,0,0,1,0
Train_346,0,0,1,0
Train_347,0,0,1,0
Train_348,1,0,0,0
Train_349,0,0,0,1
Train_350,0,0,1,0
Train_351,0,0,1,0
Train_352,0,0,0,1
Train_353,0,0,0,1
Train_354,0,0,0,1
Train_355,0,0,0,1
Train_356,1,0,0,0
Train_357,1,0,0,0
Train_358,0,0,0,1
Train_359,1,0,0,0
Train_360,1,0,0,0
Train_361,0,0,0,1
Train_362,0,0,0,1
Train_363,0,1,0,0
Train_364,0,0,0,1
Train_365,1,0,0,0
Train_366,1,0,0,0
Train_367,1,0,0,0
Train_368,0,0,1,0
Train_369,0,0,1,0
Train_370,0,0,0,1
Train_371,0,0,1,0
Train_372,0,0,0,1
Train_373,1,0,0,0
Train_374,0,0,0,1
Train_375,1,0,0,0
Train_376,1,0,0,0
Train_377,0,0,0,1
Train_378,1,0,0,0
Train_379,0,0,0,1
Train_380,1,0,0,0
Train_381,0,0,0,1
Train_382,0,0,0,1
Train_383,1,0,0,0
Train_384,0,0,1,0
Train_385,0,0,1,0
Train_386,0,0,1,0
Train_387,0,0,1,0
Train_388,0,0,0,1
Train_389,1,0,0,0
Train_390,0,0,1,0
Train_391,0,1,0,0
Train_392,1,0,0,0
Train_393,1,0,0,0
Train_394,0,0,1,0
Train_395,0,1,0,0
Train_396,1,0,0,0
Train_397,1,0,0,0
Train_398,0,0,0,1
Train_399,0,1,0,0
Train_400,0,0,0,1
Train_401,0,0,0,1
Train_402,0,0,1,0
Train_403,0,0,1,0
Train_404,1,0,0,0
Train_405,1,0,0,0
Train_406,1,0,0,0
Train_407,1,0,0,0
Train_408,0,0,1,0
Train_409,0,0,0,1
Train_410,0,0,1,0
Train_411,0,0,1,0
Train_412,1,0,0,0
Train_413,0,0,1,0
Train_414,0,0,0,1
Train_415,1,0,0,0
Train_416,0,0,1,0
Train_417,1,0,0,0
Train_418,0,1,0,0
Train_419,0,0,0,1
Train_420,1,0,0,0
Train_421,1,0,0,0
Train_422,0,0,1,0
Train_423,0,0,0,1
Train_424,0,0,0,1
Train_425,1,0,0,0
Train_426,0,0,1,0
Train_427,1,0,0,0
Train_428,0,1,0,0
Train_429,0,0,0,1
Train_430,1,0,0,0
Train_431,0,0,0,1
Train_432,1,0,0,0
Train_433,1,0,0,0
Train_434,0,0,1,0
Train_435,0,0,1,0
Train_436,0,1,0,0
Train_437,0,0,0,1
Train_438,1,0,0,0
Train_439,1,0,0,0
Train_440,0,0,1,0
Train_441,0,0,1,0
Train_442,0,0,0,1
Train_443,1,0,0,0
Train_444,1,0,0,0
Train_445,0,0,1,0
Train_446,1,0,0,0
Train_447,0,0,1,0
Train_448,1,0,0,0
Train_449,0,0,0,1
Train_450,1,0,0,0
Train_451,0,0,1,0
Train_452,1,0,0,0
Train_453,0,0,1,0
Train_454,0,0,0,1
Train_455,0,0,1,0
Train_456,0,0,1,0
Train_457,0,0,0,1
Train_458,0,0,1,0
Train_459,0,0,0,1
Train_460,1,0,0,0
Train_461,0,0,1,0
Train_462,0,0,1,0
Train_463,0,0,0,1
Train_464,0,0,1,0
Train_465,0,0,1,0
Train_466,1,0,0,0
Train_467,0,0,1,0
Train_468,0,0,1,0
Train_469,0,0,1,0
Train_470,0,0,0,1
Train_471,0,0,0,1
Train_472,0,0,1,0
Train_473,0,0,0,1
Train_474,1,0,0,0
Train_475,1,0,0,0
Train_476,1,0,0,0
Train_477,0,0,0,1
Train_478,1,0,0,0
Train_479,0,0,1,0
Train_480,0,1,0,0
Train_481,0,0,1,0
Train_482,0,0,1,0
Train_483,0,0,1,0
Train_484,0,1,0,0
Train_485,0,0,1,0
Train_486,0,0,1,0
Train_487,0,0,1,0
Train_488,1,0,0,0
Train_489,0,0,0,1
Train_490,0,0,0,1
Train_491,1,0,0,0
Train_492,0,0,1,0
Train_493,0,1,0,0
Train_494,0,0,0,1
Train_495,0,0,1,0
Train_496,1,0,0,0
Train_497,0,0,1,0
Train_498,0,0,0,1
Train_499,0,0,1,0
Train_500,0,0,1,0
Train_501,0,0,1,0
Train_502,1,0,0,0
Train_503,0,0,0,1
Train_504,0,0,1,0
Train_505,0,0,0,1
Train_506,0,0,1,0
Train_507,0,0,1,0
Train_508,0,0,1,0
Train_509,0,0,1,0
Train_510,0,0,1,0
Train_511,0,0,1,0
Train_512,0,0,1,0
Train_513,0,0,1,0
Train_514,0,0,1,0
Train_515,0,0,1,0
Train_516,0,0,1,0
Train_517,0,1,0,0
Train_518,0,0,1,0
Train_519,0,0,1,0
Train_520,0,0,0,1
Train_521,0,0,0,1
Train_522,0,0,1,0
Train_523,0,0,1,0
Train_524,0,0,0,1
Train_525,1,0,0,0
Train_526,1,0,0,0
Train_527,0,0,0,1
Train_528,0,0,0,1
Train_529,1,0,0,0
Train_530,0,0,0,1
Train_531,1,0,0,0
Train_532,1,0,0,0
Train_533,0,0,1,0
Train_534,0,0,1,0
Train_535,0,1,0,0
Train_536,0,0,1,0
Train_537,1,0,0,0
Train_538,0,0,0,1
Train_539,0,0,1,0
Train_540,0,0,0,1
Train_541,0,0,1,0
Train_542,0,0,1,0
Train_543,0,1,0,0
Train_544,1,0,0,0
Train_545,1,0,0,0
Train_546,1,0,0,0
Train_547,1,0,0,0
Train_548,0,0,0,1
Train_549,0,0,1,0
Train_550,1,0,0,0
Train_551,1,0,0,0
Train_552,0,0,0,1
Train_553,0,0,1,0
Train_554,0,0,1,0
Train_555,0,0,0,1
Train_556,0,0,0,1
Train_557,0,0,1,0
Train_558,1,0,0,0
Train_559,0,0,0,1
Train_560,0,0,1,0
Train_561,0,0,0,1
Train_562,1,0,0,0
Train_563,0,1,0,0
Train_564,0,0,1,0
Train_565,0,0,0,1
Train_566,1,0,0,0
Train_567,0,0,1,0
Train_568,0,0,0,1
Train_569,1,0,0,0
Train_570,0,0,0,1
Train_571,0,0,1,0
Train_572,1,0,0,0
Train_573,1,0,0,0
Train_574,0,0,1,0
Train_575,0,0,1,0
Train_576,0,0,0,1
Train_577,0,0,1,0
Train_578,0,0,1,0
Train_579,1,0,0,0
Train_580,0,0,1,0
Train_581,0,0,0,1
Train_582,0,0,1,0
Train_583,0,0,0,1
Train_584,0,0,1,0
Train_585,0,0,1,0
Train_586,0,0,1,0
Train_587,1,0,0,0
Train_588,0,0,1,0
Train_589,0,0,0,1
Train_590,0,0,1,0
Train_591,1,0,0,0
Train_592,1,0,0,0
Train_593,0,0,0,1
Train_594,0,0,1,0
Train_595,1,0,0,0
Train_596,0,0,1,0
Train_597,1,0,0,0
Train_598,0,0,1,0
Train_599,0,0,0,1
Train_600,0,0,0,1
Train_601,1,0,0,0
Train_602,0,1,0,0
Train_603,1,0,0,0
Train_604,0,0,0,1
Train_605,1,0,0,0
Train_606,0,0,1,0
Train_607,0,0,1,0
Train_608,0,0,1,0
Train_609,0,0,1,0
Train_610,0,0,1,0
Train_611,0,0,1,0
Train_612,0,0,1,0
Train_613,0,0,1,0
Train_614,0,0,0,1
Train_615,0,0,1,0
Train_616,1,0,0,0
Train_617,0,0,0,1
Train_618,1,0,0,0
Train_619,1,0,0,0
Train_620,0,0,1,0
Train_621,1,0,0,0
Train_622,1,0,0,0
Train_623,0,0,1,0
Train_624,0,0,0,1
Train_625,0,0,0,1
Train_626,1,0,0,0
Train_627,0,0,1,0
Train_628,0,0,0,1
Train_629,0,1,0,0
Train_630,1,0,0,0
Train_631,0,0,0,1
Train_632,0,0,1,0
Train_633,0,0,1,0
Train_634,0,0,1,0
Train_635,1,0,0,0
Train_636,0,0,0,1
Train_637,1,0,0,0
Train_638,0,0,0,1
Train_639,0,0,1,0
Train_640,0,0,1,0
Train_641,0,0,0,1
Train_642,1,0,0,0
Train_643,0,0,1,0
Train_644,1,0,0,0
Train_645,0,1,0,0
Train_646,1,0,0,0
Train_647,0,0,1,0
Train_648,1,0,0,0
Train_649,0,0,0,1
Train_650,1,0,0,0
Train_651,0,0,0,1
Train_652,0,0,1,0
Train_653,0,0,0,1
Train_654,0,0,1,0
Train_655,0,0,0,1
Train_656,0,0,1,0
Train_657,1,0,0,0
Train_658,0,0,0,1
Train_659,0,0,0,1
Train_660,1,0,0,0
Train_661,0,0,0,1
Train_662,0,0,0,1
Train_663,0,0,0,1
Train_664,0,0,0,1
Train_665,1,0,0,0
Train_666,0,0,1,0
Train_667,0,0,1,0
Train_668,0,0,1,0
Train_669,0,0,0,1
Train_670,0,0,1,0
Train_671,1,0,0,0
Train_672,0,0,1,0
Train_673,0,0,0,1
Train_674,0,0,0,1
Train_675,1,0,0,0
Train_676,1,0,0,0
Train_677,0,0,0,1
Train_678,1,0,0,0
Train_679,1,0,0,0
Train_680,0,0,0,1
Train_681,0,0,0,1
Train_682,0,1,0,0
Train_683,0,0,1,0
Train_684,1,0,0,0
Train_685,1,0,0,0
Train_686,0,0,0,1
Train_687,0,0,1,0
Train_688,0,0,0,1
Train_689,0,0,1,0
Train_690,0,0,1,0
Train_691,1,0,0,0
Train_692,0,0,0,1
Train_693,0,0,1,0
Train_694,1,0,0,0
Train_695,0,0,1,0
Train_696,0,0,0,1
Train_697,0,0,1,0
Train_698,0,0,0,1
Train_699,0,0,0,1
Train_700,0,0,1,0
Train_701,1,0,0,0
Train_702,0,1,0,0
Train_703,1,0,0,0
Train_704,1,0,0,0
Train_705,0,0,1,0
Train_706,0,0,1,0
Train_707,0,0,1,0
Train_708,0,0,0,1
Train_709,0,0,0,1
Train_710,1,0,0,0
Train_711,1,0,0,0
Train_712,0,0,1,0
Train_713,0,0,0,1
Train_714,0,0,1,0
Train_715,0,0,1,0
Train_716,0,0,0,1
Train_717,0,0,0,1
Train_718,0,0,1,0
Train_719,0,0,1,0
Train_720,1,0,0,0
Train_721,0,0,0,1
Train_722,0,0,1,0
Train_723,0,0,0,1
Train_724,0,0,1,0
Train_725,1,0,0,0
Train_726,0,0,1,0
Train_727,0,0,0,1
Train_728,0,0,1,0
Train_729,0,0,0,1
Train_730,1,0,0,0
Train_731,1,0,0,0
Train_732,0,1,0,0
Train_733,0,0,0,1
Train_734,0,0,1,0
Train_735,0,0,1,0
Train_736,0,0,0,1
Train_737,1,0,0,0
Train_738,0,0,1,0
Train_739,0,0,1,0
Train_740,0,0,0,1
Train_741,0,0,1,0
Train_742,0,0,1,0
Train_743,0,0,1,0
Train_744,0,0,1,0
Train_745,0,0,1,0
Train_746,1,0,0,0
Train_747,1,0,0,0
Train_748,0,0,0,1
Train_749,0,0,1,0
Train_750,0,0,1,0
Train_751,0,0,0,1
Train_752,1,0,0,0
Train_753,1,0,0,0
Train_754,0,1,0,0
Train_755,1,0,0,0
Train_756,0,0,0,1
Train_757,0,0,0,1
Train_758,0,0,0,1
Train_759,0,0,1,0
Train_760,0,0,1,0
Train_761,1,0,0,0
Train_762,0,1,0,0
Train_763,0,0,1,0
Train_764,0,0,1,0
Train_765,0,0,0,1
Train_766,0,0,1,0
Train_767,0,0,1,0
Train_768,1,0,0,0
Train_769,1,0,0,0
Train_770,0,0,0,1
Train_771,0,0,0,1
Train_772,1,0,0,0
Train_773,1,0,0,0
Train_774,1,0,0,0
Train_775,0,0,0,1
Train_776,1,0,0,0
Train_777,1,0,0,0
Train_778,0,0,1,0
Train_779,0,0,1,0
Train_780,0,0,0,1
Train_781,1,0,0,0
Train_782,1,0,0,0
Train_783,0,0,0,1
Train_784,0,0,1,0
Train_785,0,0,0,1
Train_786,1,0,0,0
Train_787,0,0,0,1
Train_788,1,0,0,0
Train_789,0,0,1,0
Train_790,0,0,1,0
Train_791,1,0,0,0
Train_792,0,0,0,1
Train_793,0,0,0,1
Train_794,1,0,0,0
Train_795,0,0,0,1
Train_796,0,0,1,0
Train_797,0,0,0,1
Train_798,0,0,1,0
Train_799,0,0,1,0
Train_800,1,0,0,0
Train_801,1,0,0,0
Train_802,1,0,0,0
Train_803,0,0,0,1
Train_804,0,0,1,0
Train_805,1,0,0,0
Train_806,0,0,0,1
Train_807,1,0,0,0
Train_808,0,0,0,1
Train_809,1,0,0,0
Train_810,0,0,0,1
Train_811,1,0,0,0
Train_812,1,0,0,0
Train_813,0,0,0,1
Train_814,0,0,1,0
Train_815,1,0,0,0
Train_816,0,0,1,0
Train_817,1,0,0,0
Train_818,0,0,0,1
Train_819,0,0,0,1
Train_820,0,0,0,1
Train_821,0,0,1,0
Train_822,0,0,1,0
Train_823,0,0,0,1
Train_824,0,0,0,1
Train_825,0,0,1,0
Train_826,1,0,0,0
Train_827,0,0,1,0
Train_828,0,0,1,0
Train_829,0,0,1,0
Train_830,0,0,1,0
Train_831,0,0,0,1
Train_832,0,0,1,0
Train_833,1,0,0,0
Train_834,1,0,0,0
Train_835,1,0,0,0
Train_836,0,0,1,0
Train_837,0,0,1,0
Train_838,0,0,0,1
Train_839,1,0,0,0
Train_840,0,0,1,0
Train_841,0,0,1,0
Train_842,0,0,0,1
Train_843,0,0,1,0
Train_844,0,0,0,1
Train_845,0,0,0,1
Train_846,0,0,0,1
Train_847,0,0,1,0
Train_848,0,0,1,0
Train_849,1,0,0,0
Train_850,1,0,0,0
Train_851,0,0,0,1
Train_852,0,0,1,0
Train_853,0,0,1,0
Train_854,0,0,0,1
Train_855,0,0,1,0
Train_856,0,0,0,1
Train_857,0,1,0,0
Train_858,0,0,0,1
Train_859,0,0,0,1
Train_860,0,0,1,0
Train_861,0,0,0,1
Train_862,0,0,0,1
Train_863,1,0,0,0
Train_864,1,0,0,0
Train_865,0,0,1,0
Train_866,1,0,0,0
Train_867,0,0,1,0
Train_868,0,0,0,1
Train_869,0,0,0,1
Train_870,0,0,0,1
Train_871,0,0,0,1
Train_872,1,0,0,0
Train_873,0,0,1,0
Train_874,0,0,1,0
Train_875,0,0,1,0
Train_876,0,0,1,0
Train_877,1,0,0,0
Train_878,0,0,0,1
Train_879,0,0,0,1
Train_880,1,0,0,0
Train_881,1,0,0,0
Train_882,1,0,0,0
Train_883,0,0,0,1
Train_884,0,0,1,0
Train_885,1,0,0,0
Train_886,0,1,0,0
Train_887,1,0,0,0
Train_888,0,0,1,0
Train_889,0,0,1,0
Train_890,1,0,0,0
Train_891,0,0,0,1
Train_892,0,0,1,0
Train_893,1,0,0,0
Train_894,0,0,0,1
Train_895,1,0,0,0
Train_896,1,0,0,0
Train_897,1,0,0,0
Train_898,0,0,0,1
Train_899,0,0,0,1
Train_900,0,0,1,0
Train_901,1,0,0,0
Train_902,0,0,0,1
Train_903,1,0,0,0
Train_904,0,0,0,1
Train_905,0,1,0,0
Train_906,0,0,0,1
Train_907,1,0,0,0
Train_908,1,0,0,0
Train_909,1,0,0,0
Train_910,0,0,1,0
Train_911,0,0,1,0
Train_912,0,0,1,0
Train_913,0,0,1,0
Train_914,1,0,0,0
Train_915,1,0,0,0
Train_916,0,0,1,0
Train_917,0,0,0,1
Train_918,1,0,0,0
Train_919,1,0,0,0
Train_920,0,0,1,0
Train_921,1,0,0,0
Train_922,0,0,0,1
Train_923,1,0,0,0
Train_924,1,0,0,0
Train_925,0,0,1,0
Train_926,0,0,0,1
Train_927,0,0,0,1
Train_928,0,0,1,0
Train_929,1,0,0,0
Train_930,0,0,0,1
Train_931,0,0,1,0
Train_932,0,0,0,1
Train_933,0,0,0,1
Train_934,1,0,0,0
Train_935,1,0,0,0
Train_936,0,1,0,0
Train_937,1,0,0,0
Train_938,0,0,1,0
Train_939,1,0,0,0
Train_940,0,0,1,0
Train_941,0,0,0,1
Train_942,1,0,0,0
Train_943,0,0,0,1
Train_944,0,0,1,0
Train_945,0,0,1,0
Train_946,0,0,0,1
Train_947,1,0,0,0
Train_948,1,0,0,0
Train_949,0,1,0,0
Train_950,0,0,1,0
Train_951,1,0,0,0
Train_952,1,0,0,0
Train_953,1,0,0,0
Train_954,0,0,0,1
Train_955,0,0,0,1
Train_956,1,0,0,0
Train_957,0,0,1,0
Train_958,1,0,0,0
Train_959,1,0,0,0
Train_960,1,0,0,0
Train_961,1,0,0,0
Train_962,0,0,1,0
Train_963,1,0,0,0
Train_964,0,0,0,1
Train_965,0,0,1,0
Train_966,1,0,0,0
Train_967,0,0,0,1
Train_968,1,0,0,0
Train_969,1,0,0,0
Train_970,0,0,0,1
Train_971,0,0,1,0
Train_972,0,0,0,1
Train_973,0,0,0,1
Train_974,0,0,0,1
Train_975,0,0,1,0
Train_976,0,0,1,0
Train_977,1,0,0,0
Train_978,0,0,1,0
Train_979,1,0,0,0
Train_980,1,0,0,0
Train_981,1,0,0,0
Train_982,0,0,1,0
Train_983,1,0,0,0
Train_984,0,0,0,1
Train_985,0,0,1,0
Train_986,0,0,0,1
Train_987,0,0,1,0
Train_988,0,0,0,1
Train_989,1,0,0,0
Train_990,0,0,0,1
Train_991,0,0,0,1
Train_992,0,0,0,1
Train_993,0,0,0,1
Train_994,0,0,0,1
Train_995,0,0,1,0
Train_996,0,0,1,0
Train_997,0,0,0,1
Train_998,0,0,0,1
Train_999,0,0,1,0
Train_1000,0,0,1,0
Train_1001,1,0,0,0
Train_1002,1,0,0,0
Train_1003,0,0,0,1
Train_1004,1,0,0,0
Train_1005,1,0,0,0
Train_1006,0,0,0,1
Train_1007,1,0,0,0
Train_1008,0,0,0,1
Train_1009,0,0,0,1
Train_1010,0,0,0,1
Train_1011,0,0,1,0
Train_1012,1,0,0,0
Train_1013,0,1,0,0
Train_1014,1,0,0,0
Train_1015,0,0,0,1
Train_1016,0,0,0,1
Train_1017,1,0,0,0
Train_1018,0,1,0,0
Train_1019,0,0,1,0
Train_1020,1,0,0,0
Train_1021,0,0,1,0
Train_1022,0,0,1,0
Train_1023,0,0,1,0
Train_1024,0,0,0,1
Train_1025,0,0,0,1
Train_1026,0,0,0,1
Train_1027,0,0,0,1
Train_1028,0,1,0,0
Train_1029,0,0,1,0
Train_1030,0,0,1,0
Train_1031,1,0,0,0
Train_1032,0,0,0,1
Train_1033,0,0,0,1
Train_1034,1,0,0,0
Train_1035,0,1,0,0
Train_1036,0,0,0,1
Train_1037,0,0,1,0
Train_1038,0,0,0,1
Train_1039,1,0,0,0
Train_1040,0,0,1,0
Train_1041,0,0,1,0
Train_1042,0,0,0,1
Train_1043,1,0,0,0
Train_1044,1,0,0,0
Train_1045,0,0,0,1
Train_1046,0,1,0,0
Train_1047,1,0,0,0
Train_1048,0,0,1,0
Train_1049,0,0,0,1
Train_1050,0,1,0,0
Train_1051,0,0,1,0
Train_1052,0,0,0,1
Train_1053,0,0,1,0
Train_1054,1,0,0,0
Train_1055,1,0,0,0
Train_1056,0,0,0,1
Train_1057,0,0,1,0
Train_1058,1,0,0,0
Train_1059,0,0,0,1
Train_1060,0,0,1,0
Train_1061,0,0,0,1
Train_1062,0,0,0,1
Train_1063,0,0,1,0
Train_1064,0,0,1,0
Train_1065,0,0,0,1
Train_1066,1,0,0,0
Train_1067,1,0,0,0
